Name,State,Sweep ID,Sweep Label,Model,Repeated,Num Repeats,Rep Budget,Direction,OT Multiplier,Eval Loss,Train Loss (last),Train Loss (avg),Global Step,Epoch,Tokens Seen,Unique Tokens,Train Tok/s,Learning Rate,Duration,Finished,Created,W&B Link
deep-sweep-12,finished,yku2we57,"34M nr=[1,3,13,51,193,719,2682,10000]",34M,repeated,51,10%,bot,1,4.868688583374023,4.8606,5.70396276334437,2460,1,681302050,1335886.3725490195,50050.728,5.314437147494204e-10,4h 1m,15d 8h ago,2026-04-17T13:44:26Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/8cua7fat
icy-sweep-13,finished,yku2we57,"34M nr=[1,3,13,51,193,719,2682,10000]",34M,repeated,193,10%,bot,1,4.944451332092285,4.8064,5.685730945077907,2442,1,681448574,353082.1626943005,49981.856,4.856738668573837e-09,4h 2m,15d 4h ago,2026-04-17T17:46:35Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/rcut6tf7
pretty-sweep-9,finished,5jpg3f4i,"63M nr=[1,3,13,51,99,373,1388,193,719,2682,10000]",63M,repeated,99,10%,top,0.5,4.414314270019531,4.2967,5.223793742624134,2269,1,628766482,635117.6585858586,54114.108,2.472710453513828e-07,3h 30m,15d 1h ago,2026-04-17T20:25:42Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/hh65kihp
swift-sweep-14,finished,yku2we57,"34M nr=[1,3,13,51,193,719,2682,10000]",34M,repeated,719,10%,bot,1,5.015100955963135,4.6429,5.5691233226676395,2448,1,681720620,94815.10709318498,49912.443,4.34870204558707e-08,4h 2m,14d 23h ago,2026-04-17T21:48:59Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/ljeccd90
autumn-sweep-10,finished,5jpg3f4i,"63M nr=[1,3,13,51,99,373,1388,193,719,2682,10000]",63M,repeated,99,10%,top,2,3.8697495460510254,3.7905,4.450926388618641,6650,1,2514934840,2540338.222222222,61953.154,8.640889342432629e-11,11h 38m,14d 14h ago,2026-04-17T23:56:42Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/elgy38vk
cool-sweep-15,finished,yku2we57,"34M nr=[1,3,13,51,193,719,2682,10000]",34M,repeated,2682,10%,bot,1,4.983752250671387,4.5149,5.451578625447557,2398,1,681717191,25418.23978374348,52370.853,4.531974983507261e-08,3h 51m,14d 20h ago,2026-04-18T01:51:27Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/5hd3nuow
wandering-sweep-16,finished,yku2we57,"34M nr=[1,3,13,51,193,719,2682,10000]",34M,repeated,10000,10%,bot,1,4.958309650421143,4.3152,5.298677848999226,2414,1,696099458,6960.99458,50581.179,1.3800048788867706e-08,4h 4m,14d 16h ago,2026-04-18T05:43:24Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/0rimptem
light-sweep-11,finished,5jpg3f4i,"63M nr=[1,3,13,51,99,373,1388,193,719,2682,10000]",63M,repeated,373,10%,top,0.5,4.498471736907959,4.1322,5.104741475099384,2262,1,628828721,168586.78847184987,54189.278,1.051722170648789e-07,3h 30m,14d 10h ago,2026-04-18T11:35:25Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/gh1jsgz3
happy-sweep-12,finished,5jpg3f4i,"63M nr=[1,3,13,51,99,373,1388,193,719,2682,10000]",63M,repeated,373,10%,top,2,3.9606096744537354,3.5917,4.313023950387766,6660,1,2514954202,674250.4563002682,61978.182,1.0424065606507113e-08,11h 37m,13d 23h ago,2026-04-18T15:06:29Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/yjv28bli
whole-sweep-13,finished,5jpg3f4i,"63M nr=[1,3,13,51,99,373,1388,193,719,2682,10000]",63M,repeated,1388,10%,top,0.5,4.474590301513672,4.0249,5.006610559334887,2269,1,629277354,45336.98515850145,53979.838,2.472710453513828e-07,3h 31m,13d 19h ago,2026-04-19T02:44:44Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/xcqwdeqc
drawn-sweep-14,finished,5jpg3f4i,"63M nr=[1,3,13,51,99,373,1388,193,719,2682,10000]",63M,repeated,1388,10%,top,2,3.936857223510742,3.5353,4.24264134208493,6638,1,2515123617,181204.87154178676,61813.277,1.6999896089794012e-08,11h 39m,13d 7h ago,2026-04-19T06:16:30Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/pb3n8z8b
chocolate-sweep-3,finished,vay2tt1a,"344M nr=[10,50,100]",344M,repeated,50,10%,top,1,2.983209133148194,2.8536,3.3520264383326372,13662,1,6880488201,13760976.402,44615.582,3.951873689672968e-09,43h 24m,11d 22h ago,2026-04-19T08:15:53Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/gvzd63gn
lucky-sweep-15,finished,5jpg3f4i,"63M nr=[1,3,13,51,99,373,1388,193,719,2682,10000]",63M,repeated,193,10%,top,0.5,4.468953609466553,4.1586,5.166217991065726,2263,1,628767102,325786.0632124352,53976.56,1.218393171575111e-07,3h 31m,13d 4h ago,2026-04-19T17:56:28Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/7mrr1653
vague-sweep-16,finished,5jpg3f4i,"63M nr=[1,3,13,51,99,373,1388,193,719,2682,10000]",63M,repeated,193,10%,top,2,3.92983603477478,3.6833,4.393361702958175,6647,1,2515013878,1303115.9989637306,61859.175,4.576119827887721e-08,11h 44m,12d 16h ago,2026-04-19T21:28:20Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/rq6dvm83
deep-sweep-17,finished,5jpg3f4i,"63M nr=[1,3,13,51,99,373,1388,193,719,2682,10000]",63M,repeated,719,10%,top,0.5,4.494321823120117,4.074,5.055023353782677,2259,1,629134409,87501.30862308764,54182.55,6.237099327004985e-08,3h 30m,12d 13h ago,2026-04-20T09:12:42Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/4890ar44
denim-sweep-18,finished,5jpg3f4i,"63M nr=[1,3,13,51,99,373,1388,193,719,2682,10000]",63M,repeated,719,10%,top,2,3.955972671508789,3.5652,4.2737716909484496,6632,1,2515373701,349843.3520166899,61924.779,5.56147649155143e-09,11h 38m,12d 1h ago,2026-04-20T12:43:51Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/v7m92alx
grateful-sweep-19,finished,5jpg3f4i,"63M nr=[1,3,13,51,99,373,1388,193,719,2682,10000]",63M,repeated,2682,10%,top,0.5,4.444948673248291,4.0007,4.945942745632595,2250,1,631837663,23558.451267710665,54298.164,6.285861160241526e-10,3h 38m,11d 21h ago,2026-04-21T00:23:10Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/kp3byycq
whole-sweep-20,finished,5jpg3f4i,"63M nr=[1,3,13,51,99,373,1388,193,719,2682,10000]",63M,repeated,2682,10%,top,2,3.915147304534912,3.5366,4.20708391328072,6638,1,2517996279,93885.02158836689,35538.742,1.6999896089794012e-08,20h 6m,11d 1h ago,2026-04-21T04:02:17Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/vrjrce7n
peachy-sweep-1,finished,wpc5vq1v,"34M nr=[99,373,1388]",34M,repeated,99,10%,top,1,4.889636516571045,4.8327,5.69875941547921,2460,1,681270753,688152.2757575758,49727.207,5.314437147494204e-10,4h 1m,11d 3h ago,2026-04-21T18:46:40Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/x0fnaxeg
mirror_ck5hfu0t,finished,5yhhx8ng,"344M nr=[99,373,719,2682]",344M,repeated,373,10%,top,1,,,,,,,,,,N/A,N/A,2026-04-21T22:15:15Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/mirror_ck5hfu0t
mirror_3fuj05hs,finished,tjuapg88,"344M nr=[10,50,100]",344M,repeated,100,10%,top,1,3.0104031562805176,2.7225,3.2645402278030824,13669,1,6880558418,6880558.4180000005,78779.301,9.343270653398984e-09,N/A,N/A,2026-04-21T22:16:00Z,https://wandb.ai/jchud-stanford-university/hernandez-replication/runs/mirror_3fuj05hs
